"","Ar39Ar40","errAr39Ar40","Ar36Ar40","errAr36Ar40","Ar39Ar36","errAr39Ar36"
"FC1_MD2",1.58412880736199,0.000152752011073301,1.36892969844316e-05,5.1730285174701e-07,115720.245470864,4365.18465818521
"FC2-MD2",1.57568185079945,0.000169970236264001,2.93521947528155e-05,1.68844930532783e-07,53681.9091065859,307.746911937149
"FC3-MD2",1.56880161771601,0.000123605632093826,4.38042043716358e-05,3.56926622345118e-07,35813.9507433182,290.632124733618
"FC4-MD2",1.57917415806077,0.000135582573579416,2.11468167027286e-05,4.91837193547601e-07,74676.6844513767,1734.23582495354
"MD2-1a",0.251440605492013,5.11960554244546e-05,0.00141366794179663,2.49368395556002e-06,177.863979268326,0.282847828198997
"MD2-1b",0.346495872114412,6.72451702618041e-05,0.000701890720333722,1.43256070337643e-06,493.660711099966,0.973121556050576
"MD2-1c",0.407134321876931,7.19716452371461e-05,0.000259883714309038,6.82402633190888e-07,1566.60190485346,4.24705916906793
"MD2-1d",0.424339985976708,7.82014073712455e-05,0.000130969996991295,5.42383494245916e-07,3239.97858841603,13.7112051967923
"MD2-1e",0.433237504856576,4.22686928352779e-05,6.24391851369539e-05,1.67902916526554e-07,6938.55155070193,19.0148652984706
"MD2-1f",0.434062031090577,5.16923523206004e-05,5.76673227669452e-05,5.12754444332013e-07,7527.00160617445,67.3132072289921
"MD2-1g",0.435255759526891,7.70027460415007e-05,4.8466366813932e-05,1.50747720052063e-07,8980.57329524798,28.7648154545738
"MD2-1h",0.437991981130584,6.86954879771799e-05,2.75553678787572e-05,3.48681117102857e-07,15894.978541304,200.644381992875
"MD2-1i",0.437522879380303,4.42580370092858e-05,3.04818482329665e-05,2.94688818587274e-07,14353.5548119132,138.151974386476
"MD2-1j",0.438328368150164,3.75198705150791e-05,2.38361638322197e-05,4.75403182921333e-07,18389.2161186469,366.907987515975
"MD2-1k",0.437005399086294,7.61585258072158e-05,3.12378254993157e-05,3.80078901468149e-07,13989.6229043173,170.937150575653
"MD2-1l",0.437579234540006,8.36335562998963e-05,2.82065808189457e-05,5.83526361783995e-07,15513.3738948641,322.004755142758
"MD2-1m",0.435706223504436,9.14991179836582e-05,4.21697879145911e-05,4.0257900480872e-07,10332.1891110028,98.5042800962806
"MD2-1n",0.43699937552217,4.04725759326205e-05,3.80561016087367e-05,3.32145748376841e-07,11483.0305009971,99.672248697368
"MD2-1o",0.43725125077704,3.23813579391934e-05,4.25155495700292e-05,4.36623708848695e-07,10284.5019104557,105.821820528164
"MD2-1p",0.439103814328019,5.03815348956923e-05,3.24140746790105e-05,3.89273126507409e-07,13546.7021248136,162.36986664363
"MD2-1r",0.43829547088585,9.59572198553294e-05,3.0180170910866e-05,9.75143572740248e-07,14522.6305106194,468.908123935105
"MD2-1s",0.436603959423027,7.68656181955408e-05,4.22142376210428e-05,1.07281338686523e-06,10342.5759655408,263.200297558497
"MD2-1t",0.435523315240412,0.00010092819246538,4.74751334108512e-05,9.67455715376861e-07,9173.71440478914,187.902243801488
"MD2-2a",0.0513978707451012,6.96251784883096e-05,0.00293773718247626,6.41074584459951e-06,17.4957348300903,0.036791853733504
"MD2-2b",0.170471880870869,0.000104022557177482,0.00208798723026568,2.57543594292004e-06,81.6441204236569,0.070621807617233
"MD2-2c",0.2394460952385,0.000101579822017744,0.00157374046498223,2.87934854029103e-06,152.15094265318,0.245950508962094
"MD2-2d",0.292899908318014,4.95560708560156e-05,0.00110749763301849,3.33012114316327e-06,264.470008409602,0.797632708981677
"MD2-2e",0.351549633517267,3.98281074680437e-05,0.000661923774230007,2.4747194624126e-06,531.102896139683,1.94457300425186
"MD2-2f",0.384972869624102,4.62805404551931e-05,0.000421387635588898,1.13969894855692e-06,913.583686635927,2.42095539313127
"MD2-2g",0.420350767590899,4.50393807981493e-05,0.000152660940096845,4.97422761747103e-07,2753.49259164942,9.15573933618857
"MD2-2h",0.431589169341538,7.26790469868544e-05,7.56213382538186e-05,3.94253873239023e-07,5707.2405660547,30.23450562375
"MD2-2i",0.433108808086687,4.44245867029076e-05,6.42157732075914e-05,5.80871452109931e-07,6744.58604876669,60.873149515327
"MD2-2j",0.435163149959807,3.24296728266669e-05,4.80627498405017e-05,1.72342852917153e-07,9054.06268688151,32.158790517986
"MD2-2k",0.435369504278103,5.17669827842873e-05,4.54368535076576e-05,1.74169388585004e-07,9581.85857224308,36.3725171477534
"MD2-2l",0.436447442084509,3.76759039993151e-05,3.68141183568009e-05,2.21147327793762e-07,11855.4364891882,71.8373931672863
"MD2-2m",0.436989986107198,4.75839274086525e-05,3.29831057249304e-05,2.32132535853829e-07,13248.9035372099,93.9053419548273
"MD2-2n",0.437312978897939,4.6143475739084e-05,2.91138952266481e-05,2.90288639197513e-07,15020.7650159318,149.937984854505
"MD2-2o",0.437514269599164,2.84740362970881e-05,2.75430320316241e-05,1.65225124530018e-07,15884.7533233387,95.0477548301905
"MD2-2p",0.437695686694124,3.7045739723017e-05,2.54595133598435e-05,1.53306108723867e-07,17191.8324010265,104.425557026098
"MD2-2q",0.437601765613956,4.58736546252365e-05,2.61357868397931e-05,2.52328514494861e-07,16743.3935812364,160.785538102403
"MD2-2r",0.437544355579291,4.78019049109648e-05,2.78809073626952e-05,4.0045268670431e-07,15693.3327128631,225.057577513094
"MD2-2s",0.437734865752853,4.17596728392326e-05,2.53802585252273e-05,2.90204028557954e-07,17247.0609516351,197.770285036693
"MD2-2t",0.437645150326828,3.09165390665369e-05,2.63820559098614e-05,3.00270100445314e-07,16588.7431905275,188.521645553186
"MD2-2u",0.437632497760513,4.0585892745127e-05,2.90732927822673e-05,1.7897679274493e-07,15052.732452357,92.481101001339
"MD2-2v",0.438119704800275,2.90224804155123e-05,2.85726270245487e-05,2.21088971108614e-07,15333.5464892275,118.375331796255
"MD2-2w",0.438366109774415,4.33735232056645e-05,2.56303499339709e-05,2.20958353992904e-07,17103.3993255549,146.810032452515
"MD2-2x",0.439084772327691,3.73880641620648e-05,2.41002017039129e-05,1.28843719430707e-07,18219.1326745785,96.7842050533981
"MD2-2y",0.439272183885019,3.82971567529421e-05,2.57858570315353e-05,2.54376955885335e-07,17035.3920502934,167.455955713793
"MD2-2z",0.439138544602215,6.52284791399351e-05,2.77242280141921e-05,2.96840989080776e-07,15839.5229031235,169.554388579504
"MD2-2xz",0.439057427365401,4.1357699201653e-05,3.46594911126237e-05,2.53370702676493e-07,12667.7401563316,92.6644413683379
"MD2-2yz",0.430827524966241,5.15395377558183e-05,9.59757513028562e-05,5.68705120101911e-07,4488.92057751904,26.6223768514385
"MD2-1",0.348163913700414,5.46665869877627e-05,0.000659380849091169,1.39489259718535e-06,528.016417492701,1.13755756680015
"MD2-2",0.339253990359035,6.74474448137163e-05,0.000714972900642895,1.42653876600323e-06,474.499089481548,0.991627058991428
"MD2-3",0.384145142104291,4.75663618037844e-05,0.000406440700553967,2.05634637803925e-06,945.144375503516,4.76406987735955
"MD2-4",0.38764950666577,3.02044298020588e-05,0.000382555882649059,1.56585897803139e-06,1013.31471883647,4.14191475409007
"MD2-5",0.327407975645084,5.53915800633985e-05,0.000900254520069754,3.5182202403761e-06,363.683789801706,1.39411961793974
"MD2-6",0.399013552942927,2.39480828779385e-05,0.000306723276344589,1.17388149937769e-06,1300.89101061458,4.99085517954745
"MD2-7",0.34411319334452,2.43893938968652e-05,0.000684690985693992,1.91639484026635e-06,502.581749335771,1.38950917637813
"MD2-8",0.344780499713101,2.39182019834996e-05,0.000684411929871886,1.09822138484204e-06,503.761674314531,0.822221685809172
"MD2-9",0.397479623301215,3.59313337303396e-05,0.000310554237085494,1.09431412709968e-06,1279.90404198475,4.47665986320646
"MD2-10",0.420305252598451,3.66558426675892e-05,0.000149224777916373,9.06768541133224e-07,2816.5915772647,17.2050019732128
